Neighbourhood,Neighbourhood Id,Total Population,Visible Minority Category,   Not a Visible Minority,Total Area,   In Labour Force,Recent Immigrants,   Unemployed,   Not in Labour Force,Less than grade 9,With Bachelor Degree or Higher,With College Certificate/Diploma,Total by Tenure,Tenant Average Rent,Average Family Income,After-Tax Household Income,Pre-Tax Household Income,Part-Time Employment,Low Income Families,Lone Parent Families,Low Income Population,Early Development Instrument (EDI),Seniors Living Alone,Hospital Readmissions,Healthy Food Index,Rent Bank Applicants,Social Housing Units,Social Housing RGI,PFR Program Free Registrations,PFR Program Registrations,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms
Danforth-East York,59,17180,0.994179278,0.697613504,0.000128056,0.548311991,0.023864959,0.037834692,0.27008149,0.157450524,0.305878929,0.495343423,0.404540163,923,83989,63221,70739,0.093073341,0.072759022,0.044237485,0.136204889,11.5942029,0.012514552,0.93,24.56,7,0.024621653,0.022467986,0.008032596,0.024330617,0.000523865,0.002270081,0.000174622,0.002386496,0.000349243,0.000640279,0.000232829,0,0,0.005995343
Woodbine-Lumsden,60,7865,0.998092816,0.688493325,0.000152575,0.596948506,0.016528926,0.03941513,0.254291163,0.141131596,0.285441831,0.49841068,0.443102352,823,74945,56681,65259,0.020979021,0.083916084,0.052129688,0.13986014,4.918032787,0.013350286,1.01,27.87,3,0.025810553,0.025174825,0.003305785,0.410807374,0.00114431,0.003814367,0.000762873,0.001780038,0.000381437,0.000381437,0.000635728,0,0,0.006102988
Taylor-Massey,61,15683,0.987374865,0.326786967,7.01396E-05,0.50596187,0.159408276,0.058024613,0.292992412,0.136772301,0.289166614,0.474399031,0.40139004,882,51131,37875,40915,0.045590767,0.14984378,0.047822483,0.330293949,16.91542289,0.009564497,1.13,38.19,15,0.024293821,0.022572212,0.150736466,0.016387171,0.00057387,0.005611171,0.000446343,0.002678059,0.001020213,0.000510106,0.000318817,6.37633E-05,0.000127527,0.010648473
East End-Danforth,62,21381,0.982648146,0.679809176,0.000121603,0.566858426,0.04700435,0.046302792,0.24180347,0.124409522,0.320845611,0.518450961,0.426313082,831,90812,56179,63526,0.073710304,0.094944109,0.049109022,0.16463215,13.57466063,0.016837379,1.19,35.29,13,0.047518825,0.036060053,0.00378841,0.355362238,0.000467705,0.006734952,0.000701557,0.003694869,0.001449885,0.00098218,0.000561246,0,9.3541E-05,0.011131378
The Beaches,63,21567,0.99434321,0.856169147,0.000166922,0.589326286,0.018315018,0.033616173,0.228126304,0.06700051,0.428200491,0.591180971,0.43469189,1154,139757,70957,85028,0.086613808,0.053322205,0.033384337,0.081606158,7.851239669,0.011128112,0.74,31.53,7,0.007001437,0.004312144,0.013771039,0.261186071,0.001112811,0.003384801,0.000417304,0.003523902,0.000602773,0.000370937,0.000185469,0,0,0.012704595
Woodbine Corridor,64,12541,0.991547723,0.721633044,0.000127582,0.579698589,0.021130691,0.044653536,0.226058528,0.112032533,0.336496292,0.527868591,0.415038673,782,90338,63343,72937,0.036280998,0.084522765,0.044653536,0.14113707,10.25641026,0.007575153,1.49,29.04,6,0.075751535,0.057012997,0.002392154,0.214336975,0.000637908,0.005183,0.000558169,0.004066661,0.000478431,0.000717646,0.000478431,0,7.97385E-05,0.007654892
Greenwood-Coxwell,65,14417,0.997433585,0.607269196,0.000117916,0.571894291,0.023236457,0.041270722,0.254560588,0.177914962,0.318374142,0.503225359,0.416522161,829,76085,52770,57853,0.04772144,0.111673719,0.049941042,0.20253867,5.882352941,0.009710758,0.77,44.29,9,0.057570923,0.040369009,0.000416175,0.171741694,0.000971076,0.005132829,0.000762988,0.004300479,0.000693626,0.000971076,0.000485538,0,6.93626E-05,0.009155858
Danforth,66,9666,0.992654666,0.73556797,0.000113801,0.563314711,0.024312022,0.03517484,0.259673081,0.168632319,0.340885578,0.500724188,0.403993379,828,88629,62482,69640,0.068487482,0.086902545,0.037243948,0.144837575,7.142857143,0.020173805,0.96,32.16,3,0.036830126,0.036416305,0.000517277,0.277984689,0.002069108,0.006103869,0.000931099,0.004138216,0.001448376,0.000517277,0.000310366,0.000103455,0,0.011069729
Playter Estates-Danforth,67,7804,0.978985136,0.779728344,0.000115325,0.599692465,0.030112763,0.038441825,0.232573039,0.092260379,0.433111225,0.597129677,0.452972834,1075,112244,55536,62185,0.117247565,0.073039467,0.029472066,0.111481292,3.076923077,0.012813942,1.04,42.51,3,0.024859047,0.021399282,0,0,0.000768836,0.007175807,0.000512558,0.003075346,0.001281394,0.000768836,0.000384418,0,0,0.009097899
North Riverdale,68,11916,0.980194696,0.744796912,0.000151057,0.600872776,0.015944948,0.031889896,0.216096005,0.104900973,0.435129238,0.574437731,0.432192011,1057,114599,68164,80260,0.142329641,0.073011078,0.035246727,0.115810675,12.90322581,0.013007721,0.65,47.17,5,0.008224236,0.002014099,0,0.418345082,0.000503525,0.003776435,0.000755287,0.003440752,0.001930178,0.000503525,0.000335683,8.39208E-05,8.39208E-05,0.010490097
